InstructorID,CourseID
PROF01,CSC111
PROF02,MTH111
PROF02,ACM215
PROF02,MTH121
PROF02,CNC320
PROF02,CSC321
PROF03,PHY113
PROF03,PHY123
PROF04,LRA101
PROF05,ECE111
PROF06,ECE111
PROF06,BIF411
PROF06,BIF412
PROF06,BIF312
PROF06,BIF322
PROF06,BIF421
PROF07,CSC211
PROF07,AID413
PROF07,AID427
PROF07,CNC411
PROF07,CSC221
PROF07,CNC320
PROF07,CNC321
PROF08,AID311
PROF08,SPS315
PROF09,CSE214
PROF09,CSC115
PROF09,CSC315
PROF09,CNC222
PROF09,CNC223
PROF09,CSC429
PROF09,CSC113
PROF10,ECE324
PROF10,CNC325
PROF10,ECE214
PROF11,AID428
PROF11,AID312
PROF11,CSC415
PROF11,BIF327
PROF11,AID412
PROF11,AID422
PROF12,CNC418
PROF12,CNC419
PROF12,CSC317
PROF12,CSE423
PROF13,CNC312
PROF13,AID426
PROF13,CSC317
PROF13,CSC422
PROF14,CNC413
PROF14,CNC311
PROF14,CNC323
PROF14,CNC324
PROF14,CNC327
PROF14,AID413
PROF15,BIF425
PROF15,AID417
PROF15,CNC314
PROF15,CSC122
PROF15,BIF321
PROF15,BIF323
PROF15,BIF328
PROF16,CSC426
PROF16,CSC412
PROF16,CNC415
PROF16,CSC314
PROF16,CSC414
PROF17,CSC410
PROF17,CSC411
PROF17,CNC324
PROF17,BIF424
PROF17,AID323
PROF17,CSC324
PROF17,AID421
PROF17,CSC425
PROF17,CSC427
PROF18,BIF413
PROF18,AID321
PROF18,AID411
PROF18,CSC114
PROF18,CSC322
PROF18,CSE312
PROF18,AID111
PROF19,CSC221
PROF19,AID322
PROF19,CNC111
PROF20,MTH212
PROF20,CSC112
PROF20,ECE213
PROF21,CSC121
PROF21,CSC323
PROF21,CNC422
PROF22,MTH121
PROF22,ACM323
PROF23,CHM113
PROF24,CHM113
PROF25,AID322
PROF25,AID325
PROF26,AID324
PROF26,CNC421
PROF27,LRA201
PROF27,LRA104
PROF28,LRA203
PROF28,LRA105
PROF29,LRA206
PROF29,LRA306
PROF30,LRA405
PROF31,LRA409
PROF31,LRA208
PROF32,LRA410
PROF32,LRA103
PROF33,LRA401
PROF33,LRA402
PROF33,LRA403
PROF34,LRA401
PROF34,LRA402
PROF34,LRA404
PROF35,LRA401
PROF35,LRA403
PROF35,LRA404
AP01,AID417
AP01,CNC311
AP01,CSC122
AP01,BIF328
AP01,CNC321
AP01,CNC422
AP02,AID411
AP02,BIF425
AP02,CSC121
AP02,CSC122
AP02,AID325
AP03,AID321
AP03,CNC314
AP03,CSC114
AP03,CSC122
AP03,AID322
AP03,CSC321
AP03,CSC322
AP04,CSC111
AP04,CNC411
AP04,CSC121
AP04,CSC221
AP04,BIF321
AP04,BIF322
AP05,CSC111
AP05,CNC311
AP05,CSE312
AP05,BIF421
AP05,CNC422
AP06,AID312
AP06,AID311
AP06,CSC323
AP06,CNC421
AP06,CSC317
AP07,CNC312
AP07,CNC111
AP07,CSC122
AP07,CSC324
AP07,AID426
AP08,CSE214
AP08,CSC315
AP08,CSC115
AP08,CNC222
AP09,CSE214
AP09,BIF327
AP09,AID412
AP09,AID422
AP10,AID312
AP10,CNC314
AP10,CSC121
AP10,CNC324
AP10,CNC421
AP11,CSC211
AP11,CSC317
AP11,AID323
AP11,CSE312
AP11,CSC422
AP12,CSC211
AP12,CSC317
AP12,AID325
AP12,CSC422
AP13,CSC121
AP13,PHY113
AP13,ECE111
AP14,CSE214
AP14,AID311
AP14,CNC314
AP15,CNC223
AP15,AID324
AP16,CSC221
AP16,CNC320
AP16,AID421
AP16,CSC427
AP17,CSC221
AP17,CNC323
AP17,CSC425
AP18,BIF323
AP18,AID421
AP19,CNC325
AP20,CNC327
AP20,AID422
