RoomID,Building,RoomName,Capacity,RoomType
B07_F0,B07,F0,25,LogicLab
B07_F1,B07,F1,25,Classroom
B07_F2,B07,F2,25,Classroom
B07_F20,B07,F20,25,Classroom
B07_F21,B07,F21,25,Classroom
B07_F22,B07,F22,25,Classroom
B07_F23,B07,F23,25,Classroom
B07_F24,B07,F24,25,Classroom
B07_G1,B07,G1,75,Classroom
B8_F6,B8,F6,50,Classroom
B8_F7,B8,F7,25,Classroom
B8_F10,B8,F10,25,Classroom
B8_F11,B8,F11,25,Classroom
B8_F25,B8,F25,25,Classroom
B8_G41,B8,G41,75,Classroom
B9_F4,B9,F4,25,Classroom
B9_F5,B9,F5,25,Classroom
B9_F13,B9,F13,25,Classroom
B9_F14,B9,F14,25,Classroom
B9_F22,B9,F22,25,Classroom
B9_G25,B9,G25,75,Classroom
COE_F21,COE,F21,50,Lab
COE_F22,COE,F22,50,Lab
COE_F11,COE,F11,50,PhysicsLab
B17_F3,B17,F3,75,Classroom
B17_F8,B17,F8,25,Classroom
B17_F9,B17,F9,25,Classroom
B17_F13,B17,F13,25,Classroom
B17_F14,B17,F14,25,Classroom
B17_F15,B17,F15,75,Classroom
B17_F16,B17,F16,75,Classroom
B17_F17,B17,F17,25,Classroom
B17_F18,B17,F18,25,Classroom
B17_G9,B17,G9,75,Classroom
B17_G12,B17,G12,25,Classroom
B17_G19,B17,G19,25,Classroom
B17_G20,B17,G20,25,Classroom
B17_G21,B17,G21,25,Classroom
B17_G22,B17,G22,75,Lab
B18_F1,B18,F1,50,Classroom
B18_F2,B18,F2,25,Classroom
B18_F5,B18,F5,50,Classroom
B18_F8,B18,F8,25,Classroom
B18_F10,B18,F10,50,Classroom
B18_F12,B18,F12,25,Classroom
B18_F13,B18,F13,25,Classroom
B18_F14,B18,F14,50,Classroom
B18_F19,B18,F19,50,Classroom
B18_F20,B18,F20,25,Classroom
B18_G1,B18,G1,50,Lab
Blue_Hall,Blue,Hall,150,Hall
Green_Hall,Green,Hall,150,Hall
Yellow_Hall,Yellow,Hall,150,Hall
Red_Hall,Red,Hall,150,Hall
B7_Theater,B7,Theater,100,Theater
B8_Theater,B8,Theater,100,Theater
B9_Theater,B9,Theater,100,Theater
B10_Theater,B10,Theater,100,Theater
B25_G21,B25,G21,100,Theater
B25_F19,B25,F19,100,Theater
